id,EC1,EC2
14838,1,1
14839,1,1
14840,1,1
14841,1,1
14842,1,1
14843,1,1
14844,1,1
14845,1,1
14846,1,1
14847,1,1
14848,1,1
14849,1,1
14850,1,1
14851,0,1
14852,1,1
14853,1,1
14854,1,1
14855,1,1
14856,1,1
14857,1,1
14858,1,1
14859,1,1
14860,1,1
14861,1,1
14862,1,1
14863,1,1
14864,1,1
14865,1,1
14866,1,1
14867,1,1
14868,1,1
14869,1,1
14870,1,1
14871,1,1
14872,1,1
14873,1,1
14874,1,1
14875,1,1
14876,1,1
14877,1,1
14878,1,1
14879,1,1
14880,1,1
14881,1,1
14882,1,1
14883,1,1
14884,1,1
14885,1,1
14886,1,1
14887,1,1
14888,1,1
14889,1,1
14890,1,1
14891,1,1
14892,1,1
14893,1,1
14894,1,1
14895,1,1
14896,1,1
14897,1,1
14898,1,1
14899,1,1
14900,0,1
14901,1,1
14902,1,1
14903,1,1
14904,1,1
14905,1,1
14906,1,1
14907,1,1
14908,1,1
14909,1,1
14910,1,1
14911,1,1
14912,1,1
14913,1,1
14914,1,1
14915,1,1
14916,1,1
14917,1,1
14918,1,1
14919,1,1
14920,1,1
14921,1,1
14922,1,1
14923,1,1
14924,1,1
14925,1,1
14926,1,1
14927,1,1
14928,1,1
14929,1,1
14930,1,1
14931,1,1
14932,1,1
14933,1,1
14934,1,1
14935,1,1
14936,0,1
14937,1,1
14938,1,1
14939,1,1
14940,0,1
14941,1,1
14942,1,1
14943,1,1
14944,1,1
14945,1,1
14946,1,1
14947,1,1
14948,1,1
14949,1,1
14950,1,1
14951,1,1
14952,1,1
14953,1,1
14954,1,1
14955,1,1
14956,1,1
14957,1,1
14958,1,1
14959,1,1
14960,1,1
14961,1,1
14962,1,1
14963,1,1
14964,1,1
14965,1,1
14966,1,1
14967,1,1
14968,1,1
14969,1,1
14970,1,1
14971,1,1
14972,1,1
14973,1,1
14974,1,1
14975,1,1
14976,1,1
14977,1,1
14978,1,1
14979,1,1
14980,1,1
14981,1,1
14982,1,1
14983,1,1
14984,1,1
14985,1,1
14986,1,1
14987,1,1
14988,1,1
14989,1,1
14990,1,1
14991,1,1
14992,1,1
14993,1,1
14994,1,1
14995,1,1
14996,1,1
14997,1,1
14998,1,1
14999,1,1
15000,1,1
15001,1,1
15002,1,1
15003,1,1
15004,1,1
15005,1,1
15006,1,1
15007,1,1
15008,1,1
15009,1,1
15010,1,1
15011,1,1
15012,1,1
15013,1,1
15014,1,1
15015,1,1
15016,1,1
15017,1,1
15018,1,1
15019,1,1
15020,1,1
15021,1,1
15022,1,1
15023,1,1
15024,1,1
15025,1,1
15026,1,1
15027,1,1
15028,1,1
15029,1,1
15030,1,1
15031,1,1
15032,1,1
15033,1,1
15034,1,1
15035,1,1
15036,1,1
15037,1,1
15038,1,1
15039,1,1
15040,1,1
15041,1,1
15042,1,1
15043,1,1
15044,1,1
15045,0,1
15046,1,1
15047,1,1
15048,1,1
15049,1,1
15050,1,1
15051,1,1
15052,1,1
15053,1,1
15054,1,1
15055,1,1
15056,1,1
15057,1,1
15058,1,1
15059,1,1
15060,1,1
15061,1,1
15062,1,1
15063,1,1
15064,0,1
15065,1,1
15066,1,1
15067,1,1
15068,1,1
15069,1,1
15070,1,1
15071,1,1
15072,1,1
15073,1,1
15074,1,1
15075,1,1
15076,1,1
15077,1,1
15078,1,1
15079,1,1
15080,1,1
15081,1,1
15082,1,1
15083,1,1
15084,1,1
15085,1,1
15086,1,1
15087,1,1
15088,1,1
15089,1,1
15090,0,1
15091,1,1
15092,1,1
15093,1,1
15094,1,1
15095,1,1
15096,1,1
15097,1,1
15098,1,1
15099,1,1
15100,1,1
15101,1,1
15102,1,1
15103,1,1
15104,1,1
15105,1,1
15106,1,1
15107,1,1
15108,1,1
15109,1,1
15110,1,1
15111,1,1
15112,1,1
15113,1,1
15114,1,1
15115,1,1
15116,1,1
15117,1,1
15118,1,1
15119,1,1
15120,1,1
15121,1,1
15122,1,1
15123,1,1
15124,1,1
15125,1,1
15126,1,1
15127,1,1
15128,1,1
15129,1,1
15130,1,1
15131,1,1
15132,1,1
15133,1,1
15134,1,1
15135,1,1
15136,1,1
15137,1,1
15138,1,1
15139,1,1
15140,1,1
15141,1,1
15142,1,1
15143,1,1
15144,1,1
15145,1,1
15146,1,1
15147,1,1
15148,1,1
15149,1,1
15150,1,1
15151,1,1
15152,1,1
15153,1,1
15154,1,1
15155,1,1
15156,1,1
15157,1,1
15158,1,1
15159,1,1
15160,1,1
15161,1,1
15162,1,1
15163,1,1
15164,1,1
15165,1,1
15166,1,1
15167,1,1
15168,1,1
15169,1,1
15170,1,1
15171,1,1
15172,0,1
15173,1,1
15174,1,1
15175,1,1
15176,1,1
15177,1,1
15178,1,1
15179,1,1
15180,1,1
15181,1,1
15182,1,1
15183,1,1
15184,1,1
15185,1,1
15186,1,1
15187,1,1
15188,1,1
15189,1,1
15190,1,1
15191,1,1
15192,1,1
15193,1,1
15194,1,1
15195,1,1
15196,1,1
15197,1,1
15198,1,1
15199,1,1
15200,1,1
15201,1,1
15202,1,1
15203,1,1
15204,1,1
15205,1,1
15206,1,1
15207,1,1
15208,1,1
15209,1,1
15210,1,1
15211,1,1
15212,1,1
15213,1,1
15214,1,1
15215,1,1
15216,1,1
15217,1,1
15218,1,1
15219,1,1
15220,1,1
15221,1,1
15222,1,1
15223,1,1
15224,1,1
15225,1,1
15226,1,1
15227,0,1
15228,1,1
15229,1,1
15230,1,1
15231,1,1
15232,1,1
15233,1,1
15234,1,1
15235,1,1
15236,1,1
15237,1,1
15238,1,1
15239,1,1
15240,1,1
15241,1,1
15242,1,1
15243,1,1
15244,1,1
15245,1,1
15246,1,1
15247,1,1
15248,1,1
15249,1,1
15250,1,1
15251,1,1
15252,0,1
15253,1,1
15254,1,1
15255,1,1
15256,1,1
15257,1,1
15258,1,1
15259,0,1
15260,1,1
15261,1,1
15262,1,1
15263,1,1
15264,1,1
15265,1,1
15266,1,1
15267,1,1
15268,1,1
15269,1,1
15270,1,1
15271,1,1
15272,0,1
15273,0,1
15274,1,1
15275,0,1
15276,1,1
15277,1,1
15278,1,1
15279,1,1
15280,1,1
15281,1,1
15282,1,1
15283,1,1
15284,1,1
15285,1,1
15286,1,1
15287,1,1
15288,1,1
15289,1,1
15290,1,1
15291,1,1
15292,1,1
15293,1,1
15294,0,1
15295,1,1
15296,1,1
15297,1,1
15298,1,1
15299,1,1
15300,1,1
15301,1,1
15302,1,1
15303,1,1
15304,1,1
15305,1,1
15306,1,1
15307,1,1
15308,1,1
15309,1,1
15310,1,1
15311,1,1
15312,1,1
15313,1,1
15314,1,1
15315,1,1
15316,1,1
15317,1,1
15318,1,1
15319,1,1
15320,1,1
15321,1,1
15322,1,1
15323,1,1
15324,1,1
15325,1,1
15326,1,1
15327,1,1
15328,1,1
15329,1,1
15330,1,1
15331,1,1
15332,1,1
15333,1,1
15334,1,1
15335,1,1
15336,1,1
15337,1,1
15338,1,1
15339,1,1
15340,1,1
15341,1,1
15342,0,1
15343,1,1
15344,0,1
15345,1,1
15346,1,1
15347,1,1
15348,1,1
15349,1,1
15350,1,1
15351,1,1
15352,1,1
15353,1,1
15354,1,1
15355,1,1
15356,1,1
15357,1,1
15358,1,1
15359,1,1
15360,1,1
15361,1,1
15362,1,1
15363,1,1
15364,1,1
15365,1,1
15366,1,1
15367,1,1
15368,1,1
15369,1,1
15370,1,1
15371,1,1
15372,1,1
15373,1,1
15374,1,1
15375,1,1
15376,1,1
15377,1,1
15378,1,1
15379,1,1
15380,1,1
15381,1,1
15382,1,1
15383,1,1
15384,1,1
15385,1,1
15386,1,1
15387,1,1
15388,1,1
15389,1,1
15390,1,1
15391,1,1
15392,0,1
15393,1,1
15394,1,1
15395,1,1
15396,1,1
15397,1,1
15398,1,1
15399,1,1
15400,1,1
15401,1,1
15402,1,1
15403,1,1
15404,1,1
15405,1,1
15406,1,1
15407,1,1
15408,1,1
15409,1,1
15410,1,1
15411,1,1
15412,1,1
15413,1,1
15414,1,1
15415,1,1
15416,1,1
15417,1,1
15418,1,1
15419,1,1
15420,1,1
15421,1,1
15422,1,1
15423,1,1
15424,1,1
15425,1,1
15426,1,1
15427,1,1
15428,1,1
15429,1,1
15430,1,1
15431,1,1
15432,1,1
15433,1,1
15434,1,1
15435,1,1
15436,1,1
15437,1,1
15438,1,1
15439,1,1
15440,1,1
15441,1,1
15442,1,1
15443,1,1
15444,1,1
15445,1,1
15446,1,1
15447,1,1
15448,1,1
15449,1,1
15450,1,1
15451,1,1
15452,1,1
15453,1,1
15454,1,1
15455,1,1
15456,1,1
15457,1,1
15458,1,1
15459,1,1
15460,1,1
15461,1,1
15462,1,1
15463,1,1
15464,1,1
15465,1,1
15466,1,1
15467,1,1
15468,1,1
15469,1,1
15470,1,1
15471,1,1
15472,1,1
15473,1,1
15474,1,1
15475,1,1
15476,1,1
15477,1,1
15478,1,1
15479,1,1
15480,1,1
15481,1,1
15482,1,1
15483,1,1
15484,1,1
15485,1,1
15486,1,1
15487,1,1
15488,1,1
15489,1,1
15490,1,1
15491,0,1
15492,1,1
15493,1,1
15494,1,1
15495,1,1
15496,1,1
15497,1,1
15498,1,1
15499,1,1
15500,1,1
15501,1,1
15502,1,1
15503,1,1
15504,1,1
15505,1,1
15506,1,1
15507,1,1
15508,1,1
15509,1,1
15510,1,1
15511,1,1
15512,1,1
15513,1,1
15514,1,1
15515,1,1
15516,1,1
15517,1,1
15518,1,1
15519,1,1
15520,1,1
15521,1,1
15522,1,1
15523,1,1
15524,1,1
15525,1,1
15526,1,1
15527,1,1
15528,1,1
15529,1,1
15530,1,1
15531,1,1
15532,0,1
15533,1,1
15534,1,1
15535,1,1
15536,1,1
